"","Sub_ID","Group_ID","Group_Cndn","GenderComp","minute","AU6","AU9","AU12","AU14","AU15","AU20","Speak","Sip","Laugh","SocialSmile","DuchSmile_bin","SmileCon1_bin","SmileCon2_bin","SmileCon3_bin","SmileCon_bin_any","NegAff_bin_any","Silence","DyadSpeaking","DyadLaughing","GoldenMoment","TriadSpeaking","TriadLaughing","DisjointTSSCount","DisjointTSSCountPause93","DisjointTSSCountPause78.5","DisjointTSSCountPause34.9","DisjointTSSCountPause32","DisjointTSSCountPause2"
"1",2007,1,1,1,1,16.1,8.167,33.6,10.633,0,0,24.7,4.5,7.567,17.5,16.1,3.067,0,0,3.067,18.8,35.3,1.6,4.4,7.967,0,0,1,1,1,0,0,0
"2",2007,1,1,1,2,6.167,2.4,7.433,7.7,0.7,0,33.067,3.1,4.867,1.267,6.167,0,0,0,0,10.567,26.933,4.1,1.233,0,0,0,1,1,0,1,0,0
"3",2007,1,1,1,3,4.133,0.633,15.1,14.367,0,0.767,15.167,0,2.833,10.967,4.133,2.733,0,0,2.733,15.767,44.833,0.933,0.967,0,0,0,1,0,0,0,0,0
"4",2007,1,1,1,4,0.233,0,4,9.867,3.933,0,16.433,0,0,4,0,0,0,0,0,13.667,43.567,2.333,0,0,0,0,0,1,1,0,0,0
"5",2007,1,1,1,5,0,0,3.533,13.067,3.467,0,5.733,3,0,3.533,0,2.533,0,0,2.533,15.833,54.267,1.233,0,0,0,0,2,1,1,1,1,1
"6",2007,1,1,1,6,0,0,0,15.967,2.267,0.633,22.867,2.433,0,0,0,0,0,0,0,17.6,37.133,1.1,0,0,0,0,1,0,0,0,0,0
"7",2007,1,1,1,7,7.333,7.533,9.133,25.667,1.333,2,3.833,0,2.733,3.467,5.667,4.067,0,0,4.067,30.933,56.167,0.833,2.233,0,0,0,2,2,2,1,1,0
"8",2007,1,1,1,8,3.1,4,6.033,10.8,3.5,0.333,17.467,4.133,1.133,3.933,2.1,2.067,1.033,0,3.1,16.1,42.533,0.067,1.133,0,0,0,0,0,0,0,0,0
"9",2007,1,1,1,9,10.8,4.767,29.2,23.833,1,0,12.767,0,7.933,18.4,10.8,10.5,0.467,0,10.7,28.933,47.233,0.967,6.367,0.7,0,0,2,1,1,0,0,0
"10",2007,1,1,1,10,1.567,1.067,17.967,13.7,0,0,13.3,5.367,0.633,16.4,1.567,4.867,0,0,4.867,14.767,46.7,4.3,0.5,0,0,0,0,0,0,0,0,0
"11",2007,1,1,1,11,6.9,1.267,12.667,16.033,1.767,0,26.967,0.733,2.133,5.767,6.9,1.267,0,0,1.267,18.867,33.033,4.567,1.167,0.8,0,0.667,2,1,1,0,0,0
"12",2007,1,1,1,12,2.5,1.7,12.467,2.433,0,0,6.167,0,2.367,9.967,2.5,1.4,0,0,1.4,4.133,53.833,1.333,0,0,0,0,0,0,0,0,0,0
"13",2007,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
"14",2007,1,1,1,14,0,0,3.433,7.367,0.767,1.067,13.4,3.8,0,3.433,0,0,0,0,0,8.967,46.6,2.1,0.033,0,0,0,2,1,1,1,1,1
"15",2007,1,1,1,15,0.767,0,1.633,13.533,3.5,0,20.333,0,0,1.633,0,0.7,0.1,0,0.8,17.033,39.667,1.3,0,0,0,0,2,2,2,1,1,0
"16",2007,1,1,1,16,7.633,0,15.867,16.333,2.033,0,38.867,5.067,3.967,8.233,7.633,4.367,0.2,0,4.367,17.3,21.133,3.5,0.5,0,0,0,1,1,1,1,1,1
"17",2007,1,1,1,17,8.633,3.367,23.133,7.733,4.033,0.167,27.133,2,4.967,15.3,7.833,0.333,0.167,0,0.333,14.867,32.867,3.633,1.667,0,0.633,0,1,1,1,1,1,1
